Title,Year,Directors,Rating10,WatchedDate
"Rim of the World",2019,McG,3,2021-07-18
"A Quiet Place Part II",2021,John Krasinski,6,2021-07-16
"The Dead Don't Die",2019,Jim Jarmusch,5,2021-07-15
"Love and Monsters",2020,Michael Matthews,5,2021-07-12
"Comment je suis devenu super-héros",2021,Douglas Attal,6,2021-07-12
"Présidents",2021,Anne Fontaine,4,2021-07-06
"The Tomorrow War",2021,Chris McKay,4,2021-07-05
"Rocky II",1979,Sylvester Stallone,6,2021-05-20
"Tom Clancy's Without Remorse",2021,Stefano Sollima,4,2021-05-15
"The Woman in the Window",2021,Joe Wright,5,2021-05-15
"Yesterday",2019,Danny Boyle,7,2019-07-19
"Ni neibian jidian",2001,Tsai Ming-Liang,NaN,1970-01-01
"Du zhan",2013,Johnnie To,7,2021-05-04
"Turistas",2006,John Stockwell,NaN,1970-01-01
"Samba",2014,Olivier Nakache Eric Toledano,6,2015-02-26
"Mortal Kombat",2021,Simon McQuoid,3,2021-04-26
"Zatoichi",2003,Takeshi Kitano,7,2021-04-22
